dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.297500,0.000973,0.097320,4.866021,243.301052,0.000000
0.020000,0.001893,0.297500,0.002866,0.094641,-0.133979,-250.000000,0.000000
0.020000,0.006759,0.297500,0.007732,0.243301,7.433011,378.349474,0.000000
0.020000,0.013571,0.297500,0.014544,0.340621,4.866021,-128.349474,0.000000
0.020000,0.022330,0.297500,0.023303,0.437942,4.866021,-0.000000,0.000000
0.020000,0.033035,0.297500,0.034009,0.535262,4.866021,0.000000,0.000000
0.020000,0.045687,0.297500,0.046660,0.632583,4.866021,-0.000000,0.000000
0.020000,0.060285,0.297500,0.061258,0.729903,4.866021,0.000000,0.000000
0.020000,0.076830,0.297500,0.077803,0.827224,4.866021,0.000000,0.000000
0.020000,0.095320,0.297500,0.096294,0.924544,4.866021,0.000000,0.000000
0.020000,0.115758,0.297500,0.116731,1.021864,4.866021,0.000000,0.000000
0.020000,0.138141,0.297500,0.139115,1.119185,4.866021,0.000000,0.000000
0.020000,0.162472,0.297500,0.163445,1.216505,4.866021,-0.000000,0.000000
0.020000,0.188748,0.297500,0.189721,1.313826,4.866021,0.000000,0.000000
0.020000,0.216971,0.297500,0.217944,1.411146,4.866021,0.000000,0.000000
0.020000,0.247140,0.297500,0.248113,1.508467,4.866021,0.000000,0.000000
0.020000,0.279256,0.297500,0.280229,1.605787,4.866021,-0.000000,0.000000
0.020000,0.313318,0.297500,0.314291,1.703107,4.866021,0.000000,0.000000
0.020000,0.349327,0.297500,0.350300,1.800428,4.866021,-0.000000,0.000000
0.020000,0.387282,0.297500,0.388255,1.897748,4.866021,0.000000,0.000000
0.020000,0.427183,0.297500,0.428156,1.995069,4.866021,-0.000000,0.000000
0.020000,0.469031,0.297500,0.470004,2.092389,4.866021,0.000000,0.000000
0.020000,0.512825,0.297500,0.513798,2.189709,4.866021,-0.000000,0.000000
0.020000,0.558566,0.297500,0.559539,2.287030,4.866021,-0.000000,0.000000
0.020000,0.606253,0.297500,0.607226,2.384350,4.866021,-0.000000,0.000000
0.020000,0.655886,0.297500,0.656859,2.481671,4.866021,0.000000,0.000000
0.020000,0.707466,0.297500,0.708439,2.578991,4.866021,-0.000000,0.000000
0.020000,0.760992,0.297500,0.761965,2.676312,4.866021,0.000000,0.000000
0.020000,0.816465,0.297500,0.817438,2.773632,4.866021,-0.000000,0.000000
0.020000,0.873884,0.297500,0.874857,2.870952,4.866021,0.000000,0.000000
0.020000,0.933249,0.297500,0.934222,2.968273,4.866021,-0.000000,0.000000
0.020000,0.994561,0.297500,0.995534,3.065593,4.866021,0.000000,0.000000
0.020000,1.056012,0.297500,1.056985,3.072529,0.346788,-225.961635,0.000000
0.020000,1.115655,0.297500,1.116628,2.982144,-4.519233,-243.301052,0.000000
0.020000,1.173351,0.297500,1.174324,2.884824,-4.866021,-17.339417,0.000000
0.020000,1.229101,0.297500,1.230074,2.787504,-4.866021,0.000000,0.000000
0.020000,1.282905,0.297500,1.283878,2.690183,-4.866021,0.000000,0.000000
0.020000,1.334762,0.297500,1.335735,2.592863,-4.866021,0.000000,0.000000
0.020000,1.384673,0.297500,1.385646,2.495542,-4.866021,-0.000000,0.000000
0.020000,1.432637,0.297500,1.433611,2.398222,-4.866021,0.000000,0.000000
0.020000,1.478655,0.297500,1.479629,2.300901,-4.866021,0.000000,0.000000
0.020000,1.522727,0.297500,1.523700,2.203581,-4.866021,0.000000,0.000000
0.020000,1.564852,0.297500,1.565825,2.106261,-4.866021,0.000000,0.000000
0.020000,1.605031,0.297500,1.606004,2.008940,-4.866021,-0.000000,0.000000
0.020000,1.643263,0.297500,1.644237,1.911620,-4.866021,0.000000,0.000000
0.020000,1.679549,0.297500,1.680523,1.814299,-4.866021,0.000000,0.000000
0.020000,1.713889,0.297500,1.714862,1.716979,-4.866021,-0.000000,0.000000
0.020000,1.746282,0.297500,1.747255,1.619658,-4.866021,-0.000000,0.000000
0.020000,1.776729,0.297500,1.777702,1.522338,-4.866021,0.000000,0.000000
0.020000,1.805229,0.297500,1.806202,1.425018,-4.866021,0.000000,0.000000
0.020000,1.831783,0.297500,1.832756,1.327697,-4.866021,0.000000,0.000000
0.020000,1.856391,0.297500,1.857364,1.230377,-4.866021,-0.000000,0.000000
0.020000,1.879052,0.297500,1.880025,1.133056,-4.866021,0.000000,0.000000
0.020000,1.899767,0.297500,1.900740,1.035736,-4.866021,0.000000,0.000000
0.020000,1.918535,0.297500,1.919508,0.938416,-4.866021,-0.000000,0.000000
0.020000,1.935357,0.297500,1.936330,0.841095,-4.866021,-0.000000,0.000000
0.020000,1.950232,0.297500,1.951205,0.743775,-4.866021,0.000000,0.000000
0.020000,1.963161,0.297500,1.964135,0.646454,-4.866021,0.000000,0.000000
0.020000,1.974144,0.297500,1.975117,0.549134,-4.866021,0.000000,0.000000
0.020000,1.983180,0.297500,1.984153,0.451813,-4.866021,-0.000000,0.000000
0.020000,1.990270,0.297500,1.991243,0.354493,-4.866021,0.000000,0.000000
0.020000,1.995414,0.297500,1.996387,0.257173,-4.866021,0.000000,0.000000
0.020000,1.998611,0.297500,1.999584,0.159852,-4.866021,0.000000,0.000000
0.020000,1.999861,0.297500,2.000834,0.062532,-4.866021,0.000000,0.000000
0.020000,2.000000,0.297500,2.000973,0.006936,-2.779799,104.311109,0.000000
0.020000,2.000000,0.297500,2.000973,0.000000,-0.346788,121.650526,0.000000
