dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000973,0.097320,4.866021,243.301052,0.000000
0.020000,0.001893,0.000000,0.003893,0.194641,4.866021,0.000000,0.000000
0.020000,0.006759,0.000000,0.008759,0.291961,4.866021,0.000000,0.000000
0.020000,0.013571,0.000000,0.015571,0.389282,4.866021,0.000000,0.000000
0.020000,0.022330,0.000000,0.024330,0.486602,4.866021,0.000000,0.000000
0.020000,0.033035,0.000000,0.035035,0.583923,4.866021,0.000000,0.000000
0.020000,0.045687,0.000000,0.047687,0.681243,4.866021,0.000000,0.000000
0.020000,0.060285,0.000000,0.062285,0.778563,4.866021,0.000000,0.000000
0.020000,0.076830,0.000000,0.078830,0.875884,4.866021,0.000000,0.000000
0.020000,0.095320,0.000000,0.097320,0.973204,4.866021,0.000000,0.000000
0.020000,0.115758,0.000000,0.117758,1.070525,4.866021,0.000000,0.000000
0.020000,0.138141,0.000000,0.140141,1.167845,4.866021,-0.000000,0.000000
0.020000,0.162472,0.000000,0.164472,1.265165,4.866021,0.000000,0.000000
0.020000,0.188748,0.000000,0.190748,1.362486,4.866021,0.000000,0.000000
0.020000,0.216971,0.000000,0.218971,1.459806,4.866021,0.000000,0.000000
0.020000,0.247140,0.000000,0.249140,1.557127,4.866021,-0.000000,0.000000
0.020000,0.279256,0.000000,0.281256,1.654447,4.866021,0.000000,0.000000
0.020000,0.313318,0.000000,0.315318,1.751768,4.866021,0.000000,0.000000
0.020000,0.349327,0.000000,0.351327,1.849088,4.866021,0.000000,0.000000
0.020000,0.387282,0.000000,0.389282,1.946408,4.866021,-0.000000,0.000000
0.020000,0.427183,0.000000,0.429183,2.043729,4.866021,0.000000,0.000000
0.020000,0.469031,0.000000,0.471031,2.141049,4.866021,0.000000,0.000000
0.020000,0.512825,0.000000,0.514825,2.238370,4.866021,-0.000000,0.000000
0.020000,0.558566,0.000000,0.560566,2.335690,4.866021,0.000000,0.000000
0.020000,0.606253,0.000000,0.608253,2.433011,4.866021,0.000000,0.000000
0.020000,0.655886,0.000000,0.657886,2.530331,4.866021,0.000000,0.000000
0.020000,0.707466,0.000000,0.709466,2.627651,4.866021,0.000000,0.000000
0.020000,0.760992,0.000000,0.762992,2.724972,4.866021,-0.000000,0.000000
0.020000,0.816465,0.000000,0.818465,2.822292,4.866021,0.000000,0.000000
0.020000,0.873884,0.000000,0.875884,2.919613,4.866021,0.000000,0.000000
0.020000,0.933249,0.000000,0.935249,3.016933,4.866021,-0.000000,0.000000
0.020000,0.994561,0.000000,0.996561,3.114253,4.866021,0.000000,0.000000
0.020000,1.056012,0.000000,1.058012,3.030805,-4.172444,-451.923270,0.000000
0.020000,1.115655,0.000000,1.117655,2.933484,-4.866021,-34.678834,0.000000
0.020000,1.173351,0.000000,1.175351,2.836164,-4.866021,0.000000,0.000000
0.020000,1.229101,0.000000,1.231101,2.738843,-4.866021,0.000000,0.000000
0.020000,1.282905,0.000000,1.284905,2.641523,-4.866021,0.000000,0.000000
0.020000,1.334762,0.000000,1.336762,2.544202,-4.866021,-0.000000,0.000000
0.020000,1.384673,0.000000,1.386673,2.446882,-4.866021,0.000000,0.000000
0.020000,1.432637,0.000000,1.434637,2.349562,-4.866021,0.000000,0.000000
0.020000,1.478655,0.000000,1.480655,2.252241,-4.866021,0.000000,0.000000
0.020000,1.522727,0.000000,1.524727,2.154921,-4.866021,-0.000000,0.000000
0.020000,1.564852,0.000000,1.566852,2.057600,-4.866021,0.000000,0.000000
0.020000,1.605031,0.000000,1.607031,1.960280,-4.866021,0.000000,0.000000
0.020000,1.643263,0.000000,1.645263,1.862960,-4.866021,-0.000000,0.000000
0.020000,1.679549,0.000000,1.681549,1.765639,-4.866021,0.000000,0.000000
0.020000,1.713889,0.000000,1.715889,1.668319,-4.866021,-0.000000,0.000000
0.020000,1.746282,0.000000,1.748282,1.570998,-4.866021,0.000000,0.000000
0.020000,1.776729,0.000000,1.778729,1.473678,-4.866021,-0.000000,0.000000
0.020000,1.805229,0.000000,1.807229,1.376357,-4.866021,0.000000,0.000000
0.020000,1.831783,0.000000,1.833783,1.279037,-4.866021,-0.000000,0.000000
0.020000,1.856391,0.000000,1.858391,1.181717,-4.866021,0.000000,0.000000
0.020000,1.879052,0.000000,1.881052,1.084396,-4.866021,-0.000000,0.000000
0.020000,1.899767,0.000000,1.901767,0.987076,-4.866021,0.000000,0.000000
0.020000,1.918535,0.000000,1.920535,0.889755,-4.866021,0.000000,0.000000
0.020000,1.935357,0.000000,1.937357,0.792435,-4.866021,0.000000,0.000000
0.020000,1.950232,0.000000,1.952232,0.695114,-4.866021,0.000000,0.000000
0.020000,1.963161,0.000000,1.965161,0.597794,-4.866021,0.000000,0.000000
0.020000,1.974144,0.000000,1.976144,0.500474,-4.866021,0.000000,0.000000
0.020000,1.983180,0.000000,1.985180,0.403153,-4.866021,0.000000,0.000000
0.020000,1.990270,0.000000,1.992270,0.305833,-4.866021,0.000000,0.000000
0.020000,1.995414,0.000000,1.997414,0.208512,-4.866021,0.000000,0.000000
0.020000,1.998611,0.000000,2.000611,0.111192,-4.866021,-0.000000,0.000000
0.020000,1.999861,0.000000,2.001861,0.013872,-4.866021,0.000000,0.000000
0.020000,2.000000,0.000000,2.002000,0.000000,-0.693577,208.622218,0.000000
0.020000,2.000000,0.000000,2.002000,0.000000,0.000000,34.678834,0.000000
