dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000712,0.297499,0.000008,0.000791,0.039532,1.976598,6.280793
0.020000,0.000703,0.297499,0.000017,0.000451,-0.016960,-2.824620,6.280824
0.020000,0.000682,0.297499,0.000037,0.001016,0.028215,2.258764,6.280892
0.020000,0.000646,0.297499,0.000073,0.001806,0.039502,0.564357,6.281013
0.020000,0.000590,0.297499,0.000130,0.002822,0.050791,0.564450,6.281203
0.020000,0.000508,0.297500,0.000211,0.004063,0.062083,0.564602,6.281476
0.020000,0.000398,0.297500,0.000322,0.005531,0.073380,0.564824,6.281848
0.020000,0.000253,0.297500,0.000466,0.007224,0.084682,0.565130,6.282334
0.020000,0.000070,0.297500,0.000649,0.009144,0.095993,0.565528,6.282949
0.020000,0.000389,0.297500,0.000967,0.015916,0.338560,12.128376,0.000523
0.020000,0.001072,0.297501,0.001651,0.034167,0.912580,28.701006,0.001442
0.020000,0.001885,0.297502,0.002463,0.040637,0.323469,-29.455569,0.002536
0.020000,0.002839,0.297505,0.003417,0.047698,0.353086,1.480878,0.003821
0.020000,0.003944,0.297510,0.004523,0.055283,0.379243,1.307835,0.005314
0.020000,0.005213,0.297518,0.005792,0.063436,0.407632,1.419453,0.007028
0.020000,0.006656,0.297530,0.007235,0.072154,0.435931,1.414941,0.008981
0.020000,0.008284,0.297546,0.008863,0.081407,0.462629,1.334898,0.011189
0.020000,0.010108,0.297569,0.010687,0.091210,0.490158,1.376448,0.013668
0.020000,0.012139,0.297600,0.012718,0.101557,0.517352,1.359724,0.016434
0.020000,0.014388,0.297640,0.014967,0.112452,0.544753,1.370046,0.019505
0.020000,0.016865,0.297692,0.017445,0.123893,0.572037,1.364185,0.022897
0.020000,0.019581,0.297760,0.020162,0.135844,0.597557,1.275985,0.026626
0.020000,0.022547,0.297845,0.023129,0.148359,0.625723,1.408331,0.030712
0.020000,0.025773,0.297951,0.026357,0.161386,0.651350,1.281330,0.035170
0.020000,0.029269,0.298083,0.029856,0.174939,0.677657,1.315346,0.040020
0.020000,0.033041,0.298243,0.033631,0.188736,0.689852,0.609745,0.045270
0.020000,0.037086,0.298438,0.037681,0.202503,0.688382,-0.073497,0.050924
0.020000,0.041405,0.298671,0.042005,0.216239,0.686760,-0.081079,0.056984
0.020000,0.045995,0.298948,0.046604,0.229932,0.684684,-0.103815,0.063451
0.020000,0.050856,0.299274,0.051476,0.243597,0.683225,-0.072976,0.070329
0.020000,0.055987,0.299654,0.056621,0.257242,0.682252,-0.048639,0.077618
0.020000,0.061386,0.300095,0.062038,0.270865,0.681147,-0.055249,0.085321
0.020000,0.067053,0.300603,0.067727,0.284465,0.680011,-0.056765,0.093437
0.020000,0.072986,0.301184,0.073689,0.298071,0.680304,0.014634,0.101968
0.020000,0.079184,0.301846,0.079922,0.311665,0.679705,-0.029969,0.110913
0.020000,0.085646,0.302597,0.086428,0.325285,0.680996,0.064547,0.120272
0.020000,0.092372,0.303443,0.093206,0.338931,0.682305,0.065458,0.130043
0.020000,0.099360,0.304393,0.100259,0.352617,0.684289,0.099199,0.140222
0.020000,0.106609,0.305455,0.107586,0.366348,0.686574,0.114265,0.150807
