dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000008,0.000791,0.039532,1.976598,6.280793
0.020000,0.000000,0.000000,0.000040,0.002372,0.079064,1.976598,6.280824
0.020000,0.000000,0.000000,0.000111,0.004744,0.118596,1.976598,6.280892
0.020000,0.000000,0.000000,0.000237,0.007906,0.158128,1.976598,6.281013
0.020000,0.000000,0.000000,0.000435,0.011860,0.197660,1.976598,6.281203
0.020000,0.000000,0.000000,0.000719,0.016603,0.237192,1.976598,6.281476
0.020000,0.000000,0.000000,0.001107,0.022138,0.276724,1.976598,6.281848
0.020000,0.000000,0.000000,0.001613,0.028463,0.316256,1.976598,6.282334
0.020000,0.000000,0.000000,0.002253,0.035579,0.355788,1.976598,6.282949
0.020000,0.000544,0.000000,0.003044,0.043485,0.395320,1.976598,0.000523
0.020000,0.001501,0.000001,0.004001,0.052182,0.434852,1.976598,0.001442
0.020000,0.002639,0.000003,0.005139,0.061670,0.474384,1.976598,0.002536
0.020000,0.003976,0.000008,0.006475,0.071948,0.513916,1.976598,0.003821
0.020000,0.005525,0.000015,0.008025,0.083017,0.553447,1.976598,0.005314
0.020000,0.007304,0.000026,0.009804,0.094877,0.592979,1.976598,0.007028
0.020000,0.009328,0.000042,0.011828,0.107527,0.632511,1.976598,0.008981
0.020000,0.011613,0.000065,0.014113,0.120968,0.672043,1.976598,0.011189
0.020000,0.014174,0.000097,0.016675,0.135199,0.711575,1.976598,0.013668
0.020000,0.017028,0.000140,0.019529,0.150221,0.751107,1.976598,0.016434
0.020000,0.020190,0.000197,0.022691,0.166034,0.790639,1.976598,0.019505
0.020000,0.023676,0.000270,0.026178,0.182638,0.830171,1.976598,0.022897
0.020000,0.027502,0.000365,0.030005,0.200032,0.869703,1.976598,0.026626
0.020000,0.031683,0.000485,0.034187,0.218216,0.909235,1.976598,0.030712
0.020000,0.036234,0.000635,0.038741,0.237192,0.948767,1.976598,0.035170
0.020000,0.041172,0.000821,0.043683,0.256958,0.988299,1.976598,0.040020
0.020000,0.046504,0.001048,0.049020,0.276724,0.988299,-0.000000,0.045270
0.020000,0.052229,0.001324,0.054752,0.296490,0.988299,-0.000000,0.050924
0.020000,0.058348,0.001654,0.060879,0.316256,0.988299,0.000000,0.056984
0.020000,0.064859,0.002047,0.067402,0.336022,0.988299,-0.000000,0.063451
0.020000,0.071762,0.002509,0.074320,0.355788,0.988299,0.000000,0.070329
0.020000,0.079055,0.003050,0.081634,0.375554,0.988299,0.000000,0.077618
0.020000,0.086738,0.003677,0.089342,0.395320,0.988299,0.000000,0.085321
0.020000,0.094810,0.004400,0.097446,0.415086,0.988299,-0.000000,0.093437
0.020000,0.103269,0.005229,0.105946,0.434852,0.988299,0.000000,0.101968
0.020000,0.112113,0.006174,0.114840,0.454618,0.988299,0.000000,0.110913
0.020000,0.121341,0.007246,0.124130,0.474384,0.988299,-0.000000,0.120272
0.020000,0.130950,0.008455,0.133816,0.494150,0.988299,0.000000,0.130043
0.020000,0.140939,0.009813,0.143896,0.513916,0.988299,0.000000,0.140222
0.020000,0.151304,0.011332,0.154372,0.533682,0.988299,-0.000000,0.150807
0.020000,0.162043,0.013024,0.165244,0.553447,0.988299,0.000000,0.161792
0.020000,0.173152,0.014902,0.176510,0.573213,0.988299,-0.000000,0.173170
0.020000,0.184627,0.016979,0.188172,0.592979,0.988299,0.000000,0.184935
0.020000,0.196465,0.019268,0.200229,0.612745,0.988299,0.000000,0.197077
0.020000,0.208661,0.021783,0.212682,0.632511,0.988299,-0.000000,0.209584
0.020000,0.221210,0.024537,0.225530,0.652277,0.988299,0.000000,0.222445
0.020000,0.234107,0.027544,0.238773,0.672043,0.988299,0.000000,0.235644
0.020000,0.247347,0.030817,0.252412,0.691809,0.988299,-0.000000,0.249166
0.020000,0.260923,0.034372,0.266445,0.711575,0.988299,0.000000,0.262990
0.020000,0.274829,0.038222,0.280875,0.731341,0.988299,-0.000000,0.277098
0.020000,0.289059,0.042380,0.295699,0.751107,0.988299,0.000000,0.291466
0.020000,0.303604,0.046859,0.310919,0.770873,0.988299,-0.000000,0.306069
0.020000,0.318458,0.051675,0.326534,0.790639,0.988299,0.000000,0.320881
0.020000,0.333613,0.056839,0.342544,0.810405,0.988299,-0.000000,0.335874
0.020000,0.349060,0.062363,0.358950,0.830171,0.988299,0.000000,0.351016
0.020000,0.364792,0.068261,0.375751,0.849937,0.988299,0.000000,0.366276
