dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000712,-0.297499,0.000008,0.000791,0.039532,1.976598,6.280793
0.020000,-0.000703,-0.297499,0.000017,0.000451,-0.016960,-2.824620,6.280824
0.020000,-0.000682,-0.297499,0.000037,0.001016,0.028215,2.258764,6.280892
0.020000,-0.000646,-0.297499,0.000073,0.001806,0.039502,0.564357,6.281013
0.020000,-0.000590,-0.297499,0.000130,0.002822,0.050791,0.564450,6.281203
0.020000,-0.000508,-0.297500,0.000211,0.004063,0.062083,0.564602,6.281476
0.020000,-0.000398,-0.297500,0.000322,0.005531,0.073380,0.564824,6.281848
0.020000,-0.000253,-0.297500,0.000466,0.007224,0.084682,0.565130,6.282334
0.020000,-0.000070,-0.297500,0.000649,0.009144,0.095993,0.565528,6.282949
0.020000,0.000700,-0.297500,0.001419,0.038506,1.468085,68.604595,0.000523
0.020000,0.001930,-0.297499,0.002649,0.061511,1.150225,-15.892996,0.001442
0.020000,0.003394,-0.297496,0.004113,0.073188,0.583849,-28.318759,0.002536
0.020000,0.005113,-0.297490,0.005832,0.085948,0.638007,2.707870,0.003821
0.020000,0.007106,-0.297481,0.007826,0.099671,0.686165,2.407903,0.005314
0.020000,0.009395,-0.297467,0.010114,0.114443,0.738613,2.622413,0.007028
0.020000,0.012000,-0.297446,0.012720,0.130267,0.791204,2.629546,0.008981
0.020000,0.014942,-0.297416,0.015662,0.147092,0.841241,2.501848,0.011189
0.020000,0.018241,-0.297375,0.018961,0.164955,0.893144,2.595136,0.013668
0.020000,0.021917,-0.297320,0.022638,0.183852,0.944837,2.584684,0.016434
0.020000,0.025993,-0.297247,0.026714,0.203798,0.997326,2.624405,0.019505
0.020000,0.030487,-0.297152,0.031210,0.224799,1.050043,2.635868,0.022897
0.020000,0.035422,-0.297029,0.036146,0.246799,1.100008,2.498237,0.026626
0.020000,0.040818,-0.296875,0.041544,0.269904,1.155231,2.761176,0.030712
0.020000,0.046695,-0.296681,0.047424,0.294030,1.206281,2.552508,0.035170
0.020000,0.053075,-0.296441,0.053808,0.319209,1.258981,2.634968,0.040020
0.020000,0.059967,-0.296147,0.060707,0.344934,1.286239,1.362924,0.045270
0.020000,0.067373,-0.295790,0.068121,0.370706,1.288595,0.117779,0.050924
0.020000,0.075292,-0.295363,0.076052,0.396516,1.290533,0.096924,0.056984
0.020000,0.083723,-0.294854,0.084498,0.422344,1.291368,0.041747,0.063451
0.020000,0.092667,-0.294255,0.093463,0.448202,1.292924,0.077809,0.070329
0.020000,0.102123,-0.293555,0.102944,0.474099,1.294816,0.094566,0.077618
0.020000,0.112090,-0.292741,0.112945,0.500013,1.295735,0.045965,0.085321
0.020000,0.122567,-0.291802,0.123463,0.525927,1.295683,-0.002622,0.093437
0.020000,0.133552,-0.290725,0.134501,0.551870,1.297159,0.073818,0.101968
0.020000,0.145042,-0.289498,0.146056,0.577783,1.295663,-0.074820,0.110913
0.020000,0.157035,-0.288105,0.158130,0.603706,1.296121,0.022919,0.120272
0.020000,0.169529,-0.286533,0.170723,0.629602,1.294832,-0.064455,0.130043
